idForum,idDiscussion,subject,message,parent
5721,26375,"Proyecto ""Facultad Cero"" proiektua",paix ehu edonondik taldea zer modus p beat urrutikoetxe arret naiz ehu economia eta empresa fakultatek irakasle kas honey menu desbordan bat dati nazi dut p rain del gun batua granada unibertsitatek medialab proiektuk jendeak dati zid projekte bakeri cruz faculty cer a href deity da p perez guttatus litzaidak zeki hit emite zion ibenik ius debut bain bahia dut zuek komentatze nor dati delayed zeki pink bat hit egito p gaur bildu gar leh aldia eta este dut projekte interesgarri izan daitekeel ehurentzat p pzu erantzunar main great naiz eskerrik ask aldea aurretik generan p p p div classfigur right span div,0
5721,26798,Mensaje sospechoso en un examen online de eGela,span stylefontfamily verdad arial velvet sansserif fontsize smallbuen tard escribe respect exam online hecho ngel cuestionar contest teni format ensayo escribe  lin examen debajo respuesta aparece vari vec mensajespanp span stylefontfamily verdad arial velvet sansserif fontsize smaller  what do you want to do br  new mailcopybr  br  what do you want to do br  new mailcopybr  br  what do you want to do br  new mailcopybr  br  dud puede ser esto no se si program detect entrada copa peg si puede ser razon ¿sabr algun dec deb eskerrik askobr span,0
5722,23878,Blackboard añadir moderadores,pos agradece comment com convert alumno model blackbird ngel puede comparte archiv defend tfg online muchisimo gracias,0
5722,23881,Pantaila konpartitzean erakuslea,pkaixop p  pantalla konpartitz ez da arraso just eta aplikazi basquet mala kas  ein dut nazi dudan beh brezal adierazi modus bat dag collaborate bitartez edo sistema eragiletik nolabait erakusler bat marta jartzekop pmid ester aldea aurretikp nowrap,0
5722,23885,Uso de Blackboard entre alumnos,buen dias hoy super alumno utilice bbc run pod hac trabajo grup pendiente intent entren traves ehueusbilerak no dej cre sesion gust sab com puede hac sesion bbc superviso yo puede junto dia hor mejor convenga much gracia por adelantado saludos truth,0
5722,23943,"Pantaila konpartitzean, nabegadorea itxi egiten zait",p ara debut ein nabegatzail firefox edo chrome erabiltz dudar araberap pstrongemchromem strong pantalla konpartitz dud automatikoki nabegatzaila itsi edit fait gehienetanp pau ez fait gertatz strongfirefoxstrongekin bain strongfirefoxstrongekin bang emcollaborateem eta pantalla konpartitz baden ikasleek ez dut arraso ikustenp pea bi arazetako bat gutxienez soluzionatzerik dud klassik ordo eman anal izatekop pbesterik gab eskerrik ask p pitstop,0
5722,23951,Grupos,pol buen dias pay sesion estudi cre grup trabajo hoy entrar nuevo plataforma no esta vol cre quer sab si posible maten grup si cad vez entro cre nuevo  alumno pes ten hac cad vez ¿es posible plataforma grab grups eskerrik asp,0
5722,23953,grabazioak partekatzea,pkaixop pzalantz bat dakar bbc seis bat grabado dut eta irabazi hora deskargatu dup plain nol emaili dezaket grabase hora best ngela kurt bat nol igo date kurtsrap peskerik asp p p pkoldop p p,0
5722,23991,compartir aplicación,buen tardes sol puede comparte pestaña chrome pen comparte aplica no puede comparte vide vlc ejemplo pow point result problem asignatura ultima version chrome trabajo mac a pes dispone cas ¿puede ser eso peskerrik ask p pteresep p p p p,0
5722,24004,Problemas con el audio,segun on p pen prim curs assist collaborate no ningun problem oir model embargo segund assist sol oia son algun escribe chat no oia model mañana no escucha modera son chats comprobo audi orden no parece hab ningun problem prob abrir pagina audi youtube escucha perfect intent chrome firefox problem persiste p¿com puede solucion preocupa organizo tutor collaborate no puede escucha alumnos peskerrik ask saludo pleine,0
5722,24031,"Pertsona gutxiko bilerak direnean, ikusi al daitezke denak pantailan?",pkaixop normal  person bain ez debut just pantalla hain zuz ere hit edit ari sirena posible da pantalla txikiag izan ere elkarrizket dad person guztia ilustre  laguna arte bileretaz ari naiz alerta dut  dudan ezinezko del bain bilder nacio txikientzakop peskerrik asp edurne,0
5722,24112,Problema al compartir una aplicación,pegunonp pay impact clas laboratorio collaborate bien comparte aplica program dial quer comparte program daisalux aparece pantalla blackbird negro adjunto pantallzosp py nave firefox explore problem desactualiz comprobo si funcion ellos que esper respuesta saludos p p eduard mat sanz,0
5722,24158,dos cámaras simultáneas,papel conecta cam extern sesion alumno puede ver escribe algun posible pas cam comparte document pantalla manera agile gracias,0
5722,24163,Material del curso,pve que diferente rest curs impact este acces grabacion no ningun archiv material curs pdf pod guard imprime ¿ser posible colgaseisp,0
5722,24170,Sobre cambiar unas grabaciones de un curso de Blackboard a otro,polar phe hecho unas grabacion reunion blackbird collaborate cre part ngel ahora cre reunion balckboard collaborate no vincula ngel gust sab si podr pas grabacion blacboard ngel reunion blackbird gelp p p much gracias poner,0
5722,24209,Idazteko baliabidearekin arazoak,pkaixop pilas batzuekin current brazo iza dut idaztek baliabide erabiltz dud dokumente bat gain serait idaztek edo azpimarratzek iksleek ez dut just nir apunte nik egin dud lek batik eta desplazatut pantalla best lek bat zergatik izan date nol konpondu dezaket brazo alberto,0
5722,24211,Invitar profesor/a externo a UPV/EHU a BBC,parratsald onp p¿es posible invita profesor extern upvehu impact conference utiliza collaborate cre asignatura  ¿hay hac necesario traves wweehueusbilerakp psi hac traves ehueusbilerak¿ posible envio distinto enlace distinto rol mismo sesion model participo model participo pmid ester aldea aurretikp pidoiap p p,0
5722,24236,Problemas con la cámara,buen dias uso blackbird collaborate no problem configura audi no configura cam portatil enciende luz cam portatil blackbird dic prueba vide   que red and vuelta pens prob conecta rout cabo sig igual aplica cam funcion problem asi no se cual puede ser problem ¿algun ide mil espera,0
